ticker,value,portfolio_share,period,relative_liquidity
HOOD,472291833,0.04943483189,after,liquid
USD in Ledger Prime,200000000,0.02093401936,after,liquid
USDB,73001646,0.007641089355,after,liquid
DAI,28491686,0.002982227532,after,liquid
DOT,28384450,0.00297100313,after,liquid
PAXG,23767062,0.002487700681,after,liquid
JPY,21758186,0.002277431435,after,liquid
TUSD,15991381,0.001673819398,after,liquid
EURT,12117879,0.001268379568,after,liquid
BRZ,9049093,0.0009471694404,after,liquid
BRL,7017295,0.000734500947,after,liquid
WXRP,6987896,0.0007314237509,after,liquid
PAX,1000714,0.0001047448313,after,liquid
HOOD,579183374,0.02950164973,before,liquid
USD in Ledger Prime,200000000,0.01018732617,before,liquid
USDB,73223641,0.003729765572,before,liquid
DAI,28464601,0.001449890874,before,liquid
DOT,32522098,0.001656566101,before,liquid
PAXG,23244430,0.001183992951,before,liquid
JPY,21979251,0.001119548995,before,liquid
TUSD,16034265,0.0008167314375,before,liquid
EURT,11847808,0.0006034874227,before,liquid
BRZ,8708731,0.0004435934163,before,liquid
BRL,6753417,0.0003439963088,before,liquid
WXRP,9298681,0.0004736434816,before,liquid
PAX,1002277,0.00005105261358,before,liquid
FTT,553903773,0.05797716155,after,less_liquid
SRM,2187876172,0.2290052107,after,less_liquid
SOL,981902267,0.1027758054,after,less_liquid
MAPS,616372827,0.06451580348,after,less_liquid
Locked USDT,500000000,0.05233504841,after,less_liquid
OXY,54008094,0.005653032428,after,less_liquid
STG,45511034,0.004763644335,after,less_liquid
ETHE,53155549,0.00556379646,after,less_liquid
FIDA,36492962,0.003819721866,after,less_liquid
MSOL,26558417,0.002779872079,after,less_liquid
ASD,33946248,0.003553157065,after,less_liquid
BITW,26527697,0.002776656613,after,less_liquid
Others,17860159,0.001869424572,after,less_liquid
GBTC,3304945,0.0003459289131,after,less_liquid
APT,312092943,0.03266679856,after,less_liquid
FTT,5905299356,0.3007960535,before,less_liquid
SRM,5430110335,0.2765915257,before,less_liquid
SOL,2245516953,0.1143790681,before,less_liquid
MAPS,865376279,0.04407935208,before,less_liquid
Locked USDT,500000000,0.02546831543,before,less_liquid
OXY,100105976,0.005099061147,before,less_liquid
STG,66499913,0.003387281521,before,less_liquid
ETHE,64420529,0.003281364706,before,less_liquid
FIDA,62127831,0.003164582394,before,less_liquid
MSOL,60394582,0.00307629653,before,less_liquid
ASD,49967401,0.00254517106,before,less_liquid
BITW,31939957,0.0016269138,before,less_liquid
Others,29105567,0.001482539522,before,less_liquid
GBTC,4387145,0.0002234663854,before,less_liquid
APT,267602,0.00001363074429,before,less_liquid
other ventures,1475000000,0.1543883928,after,illiquid
GDA,1115000000,0.116707158,after,illiquid
Anthropic,500000000,0.05233504841,after,illiquid
PYTH,63766000,0.006674393394,after,illiquid
TWTR,43293943,0.004531581205,after,illiquid
TRUMPLOSE,7394877,0.0007740224915,after,illiquid
other ventures,1475000000,0.07513153053,before,illiquid
GDA,1115000000,0.05679434342,before,illiquid
Anthropic,500000000,0.02546831543,before,illiquid
PYTH,63766000,0.003248025204,before,illiquid
TWTR,43293943,0.002205247593,before,illiquid
TRUMPLOSE,7394877,0.0003766701201,before,illiquid